2112,express.co.uk,OK
2192,ico.org.uk,OK
2302,guardian.co.uk,OK
2444,thetimes.co.uk,OK
2674,standard.co.uk,OK
2677,metro.co.uk,6.8.3
2694,ucl.ac.uk,OK
2772,nic.uk,N/A
3033,bbci.co.uk,n/a
3285,blogspot.co.uk,OK
3313,ed.ac.uk,n/a
3436,tripadvisor.co.uk,n/a
3637,eventbrite.co.uk,n/a
3728,lse.ac.uk,OK
3983,tfl.gov.uk,OK
3998,manchestereveningnews.co.uk,OK
4068,next.co.uk,OK
4241,pinterest.co.uk,OK
4257,metoffice.gov.uk,OK
4392,legislation.gov.uk,n/a
4499,boutell.co.uk,OK
4590,theregister.co.uk,OK
4632,livedns.co.uk,n/a
4742,ticketmaster.co.uk,OK
5062,nationalarchives.gov.uk,WP
5213,wired.co.uk,OK
5315,thomsonreuters.co.uk,n/a
5326,imperial.ac.uk,OK
5383,manchester.ac.uk,n/a
5517,huffingtonpost.co.uk,OK
5525,very.co.uk,n/a
5691,ons.gov.uk,n/a
5872,gla.ac.uk,OK
5906,zoopla.co.uk,n/a
5917,dailyrecord.co.uk,OK
5995,warwick.ac.uk,OK
6139,currys.co.uk,n/a
6208,sainsburys.co.uk,n/a
6214,tui.co.uk,n/a
6249,newsnow.co.uk,OK
6332,leeds.ac.uk,n/a
6465,liverpoolecho.co.uk,OK
6510,tate.org.uk,OK
6540,walesonline.co.uk,OK
6646,just-eat.co.uk,n/a
6677,dailystar.co.uk,OK
6711,demon.co.uk,N/A
6717,vogue.co.uk,OK
6720,national-lottery.co.uk,OK
6747,guim.co.uk,OK
6794,kcl.ac.uk,OK
6842,therange.co.uk,n/a
7031,inews.co.uk,WP
7042,core.ac.uk,OK
7245,vinted.co.uk,n/a
7319,ancestry.co.uk,OK
7546,greenend.org.uk,N/A
7578,lloydsbank.co.uk,OK
7598,birminghammail.co.uk,OK
7700,which.co.uk,OK
7712,matalan.co.uk,OK
7731,timesonline.co.uk,n/a
7812,ovotech.org.uk,N/A
7886,spareroom.co.uk,OK
7952,shein.co.uk,OK
8052,ibtimes.co.uk,OK
9003,vivastreet.co.uk,n/a
9012,york.ac.uk,OK
9340,gq-magazine.co.uk,OK
9544,awsdns-43.co.uk,N/A
9671,ncl.ac.uk,OK
9739,vam.ac.uk,OK
9911,shef.ac.uk,OK
