10190,coral.co.uk,n/a
10192,nottingham.ac.uk,OK
10248,bl.uk,OK
10270,awsdns-09.co.uk,N/A
10441,awsdns-29.co.uk,N/A
10451,foodnetwork.co.uk,OK
10457,awsdns-16.co.uk,N/A
10474,nationaltrust.org.uk,OK
10546,st-andrews.ac.uk,OK
10557,awsdns-36.co.uk,N/A
10601,awsdns-55.co.uk,N/A
10717,parliament.uk,n/a
10817,awsdns-14.co.uk,N/A
10832,awsdns-39.co.uk,N/A
10842,spectator.co.uk,WP
10864,awsdns-47.co.uk,N/A
10875,awsdns-35.co.uk,N/A
10905,awsdns-10.co.uk,N/A
10914,awsdns-07.co.uk,N/A
10957,awsdns-56.co.uk,N/A
11015,fca.org.uk,OK
11105,airbnb.co.uk,OK
11162,nhm.ac.uk,OK
11176,awsdns-08.co.uk,N/A
11178,awsdns-41.co.uk,N/A
11188,huqindustries.co.uk,N/A
11236,awsdns-12.co.uk,N/A
11253,awsdns-25.co.uk,N/A
11338,amzndns.co.uk,N/A
11378,awsdns-45.co.uk,N/A
11383,open.ac.uk,n/a
11408,awsdns-23.co.uk,N/A
11477,awsdns-60.co.uk,N/A
11481,awsdns-30.co.uk,N/A
11505,anm.co.uk,n/a
11543,soton.ac.uk,N/A
11620,salutemusic.uk,OK
11647,exeter.ac.uk,OK
11654,awsdns-22.co.uk,N/A
11663,awsdns-42.co.uk,N/A
11676,ee.co.uk,OK
11681,awsdns-51.co.uk,N/A
11738,awsdns-44.co.uk,N/A
11759,awsdns-18.co.uk,N/A
11906,awsdns-05.co.uk,N/A
11987,hse.gov.uk,OK
12010,awsdns-46.co.uk,N/A
12020,awsdns-20.co.uk,N/A
12110,bris.ac.uk,OK
12183,awsdns-11.co.uk,N/A
12218,awsdns-40.co.uk,N/A
12234,sheffield.ac.uk,OK
12350,awsdns-03.co.uk,N/A
12371,belfasttelegraph.co.uk,OK
12408,awsdns-19.co.uk,N/A
12418,faroutmagazine.co.uk,WP
12439,qmul.ac.uk,n/a
12446,awsdns-49.co.uk,N/A
12453,awsdns-48.co.uk,N/A
12482,awsdns-02.co.uk,N/A
12498,nice.org.uk,OK
12551,awsdns-50.co.uk,N/A
12582,bristol.ac.uk,OK
12599,awsdns-54.co.uk,N/A
12631,awsdns-27.co.uk,N/A
12657,homeoffice.gov.uk,n/a
12694,awsdns-13.co.uk,N/A
12703,awsdns-33.co.uk,N/A
12706,awsdns-32.co.uk,N/A
12724,awsdns-38.co.uk,N/A
12726,awsdns-26.co.uk,N/A
12735,southampton.ac.uk,OK
12772,awsdns-00.co.uk,N/A
12780,awsdns-52.co.uk,N/A
12793,glamourmagazine.co.uk,OK
12804,awsdns-21.co.uk,N/A
12888,awsdns-01.co.uk,N/A
12895,awsdns-24.co.uk,N/A
12907,mind.org.uk,n/a
12920,awsdns-53.co.uk,N/A
13125,awsdns-34.co.uk,N/A
13128,awsdns-57.co.uk,N/A
13211,awsdns-15.co.uk,N/A
13212,data.gov.uk,OK
13306,awsdns-17.co.uk,N/A
13320,awsdns-58.co.uk,N/A
13359,bankofengland.co.uk,OK
13374,awsdns-04.co.uk,N/A
13463,surrey.ac.uk,OK
13503,awsdns-37.co.uk,N/A
13510,fasthosts.co.uk,n/a
13547,awsdns-61.co.uk,N/A
13568,awsdns-06.co.uk,N/A
13584,barclays.co.uk,OK
13620,awsdns-59.co.uk,N/A
13671,birmingham.ac.uk,OK
13749,awsdns-63.co.uk,N/A
13868,bath.ac.uk,OK
13873,awsdns-31.co.uk,N/A
13875,awsdns-62.co.uk,N/A
13891,awsdns-28.co.uk,N/A
13935,rhs.org.uk,OK
13946,blunet.co.uk,n/a
13977,gamblingcommission.gov.uk,OK
13985,mod.uk,n/a
14331,vodafone.co.uk,OK
14405,ic.ac.uk,n/a
14442,ncsc.gov.uk,OK
14454,kentonline.co.uk,OK
14459,bonusprint.co.uk,OK
14473,bhf.org.uk,OK
14476,england.nhs.uk,WP
14482,penguin.co.uk,n/a
14555,ionos.co.uk,n/a
14728,english-heritage.org.uk,OK
14797,dur.ac.uk,OK
14828,le.ac.uk,OK
14832,bfi.org.uk,OK
14955,jdsports.co.uk,n/a
15089,santander.co.uk,OK
15215,citizensadvice.org.uk,OK
15219,wickes.co.uk,n/a
15292,ebi.ac.uk,OK
15343,chroniclelive.co.uk,OK
15529,bristolpost.co.uk,OK
15544,autoexpress.co.uk,n/a
15574,autocar.co.uk,OK
15616,nationwide.co.uk,OK
15635,halifax-online.co.uk,OK
15636,o2.co.uk,n/a
15679,sussex.ac.uk,OK
15681,blog.gov.uk,n/a
15790,iwm.org.uk,OK
15791,strath.ac.uk,N/A
15851,thisismoney.co.uk,n/a
16014,qub.ac.uk,OK
16120,decathlon.co.uk,n/a
16181,reading.ac.uk,OK
16304,visualsoft.co.uk,OK
16349,mentalhealth.org.uk,OK
16369,bmstores.co.uk,n/a
16425,thescottishsun.co.uk,6.5.7
16480,bham.ac.uk,n/a
16525,lse.co.uk,n/a
16584,easynet.co.uk,N/A
16600,twinkl.co.uk,OK
16609,uea.ac.uk,n/a
16642,abdn.ac.uk,OK
16680,kent.ac.uk,OK
16708,ofcom.org.uk,OK
16777,gamcare.org.uk,n/a
16778,123-reg.co.uk,OK
16789,espn.co.uk,OK
16935,hsbc.co.uk,OK
16940,liverpool.ac.uk,OK
17019,bankofscotland.co.uk,OK
17081,tocapitall.co.uk,n/a
17145,topcashback.co.uk,OK
17202,london.gov.uk,n/a
17408,gamer-network.uk,N/A
17727,yougov.co.uk,OK
17746,dpdgroup.co.uk,6.5.5
17796,nationalrail.co.uk,OK
17799,essex.ac.uk,OK
17994,freeads.co.uk,n/a
18370,flashscore.co.uk,OK
18493,cardiff.ac.uk,n/a
18511,royal.uk,n/a
18547,refinitiv.co.uk,N/A
18688,mistral.co.uk,n/a
18770,openrent.co.uk,OK
18908,fco.gov.uk,n/a
18999,rmg.co.uk,OK
19028,nationalgallery.org.uk,OK
19115,cw-direct.co.uk,n/a
19138,oxfam.org.uk,OK
19194,jobsatamazon.co.uk,n/a
19309,lboro.ac.uk,OK
19310,glassdoor.co.uk,n/a
19380,aber.ac.uk,n/a
19403,manomano.co.uk,n/a
19412,roman.co.uk,OK
19438,zen.co.uk,OK
19555,jobs.nhs.uk,N/A
19557,audible.co.uk,OK
19765,gameassists.co.uk,N/A
19795,rspb.org.uk,n/a
19798,freeserve.co.uk,N/A
19937,direct.gov.uk,n/a
